Price,Date,Close,High,Low,Open,Volume
Ticker,,DSSL.NS,DSSL.NS,DSSL.NS,DSSL.NS,DSSL.NS
217,2008-11-19,4.789026737213135,4.789026737213135,4.310124063491821,4.310124063491821,9535
218,2008-11-20,4.310123443603516,4.789026048448351,4.310123443603516,4.310123443603516,8505
219,2008-11-21,4.310123443603516,4.310123443603516,3.8312208387586804,3.8312208387586804,9912
220,2008-11-24,4.310123443603516,4.789026048448351,3.8312208387586804,4.789026048448351,3839
221,2008-11-25,4.789026737213135,4.789026737213135,3.8312213897705076,3.8312213897705076,5143
222,2008-11-26,4.310123443603516,4.789026048448351,4.310123443603516,4.310123443603516,4956
223,2008-11-27,4.310123443603516,4.310123443603516,4.310123443603516,4.310123443603516,0
224,2008-11-28,3.831220865249634,4.789026081562042,3.831220865249634,4.310123473405838,3585
225,2008-12-01,4.310123443603516,4.310123443603516,3.8312208387586804,3.8312208387586804,4877
226,2008-12-02,3.831220865249634,4.310123473405838,3.831220865249634,3.831220865249634,16986
227,2008-12-03,4.310123443603516,4.310123443603516,3.8312208387586804,3.8312208387586804,2917
228,2008-12-04,4.310123443603516,4.310123443603516,3.8312208387586804,3.8312208387586804,2732
229,2008-12-05,3.831220865249634,4.310123473405838,3.831220865249634,4.310123473405838,7496
230,2008-12-08,3.831220865249634,4.310123473405838,3.831220865249634,3.831220865249634,7249
231,2008-12-10,4.310123443603516,4.310123443603516,3.8312208387586804,4.310123443603516,6041
232,2008-12-11,3.831220865249634,4.310123473405838,3.831220865249634,4.310123473405838,2111
233,2008-12-12,3.831220865249634,4.310123473405838,3.831220865249634,3.831220865249634,4104
234,2008-12-15,4.310123443603516,4.310123443603516,3.8312208387586804,3.8312208387586804,9997
235,2008-12-16,4.310123443603516,4.789026048448351,4.310123443603516,4.310123443603516,13845
236,2008-12-17,5.267928600311279,5.267928600311279,4.310123400254683,5.267928600311279,8182
237,2008-12-18,4.789026737213135,4.789026737213135,4.310124063491821,4.310124063491821,5929
238,2008-12-19,4.789026737213135,4.789026737213135,4.310124063491821,4.310124063491821,1833
239,2008-12-22,4.789026737213135,4.789026737213135,4.310124063491821,4.310124063491821,1703
240,2008-12-23,4.789026737213135,4.789026737213135,4.310124063491821,4.310124063491821,4446
241,2008-12-24,4.310123443603516,4.789026048448351,4.310123443603516,4.310123443603516,1395
242,2008-12-26,4.310123443603516,4.310123443603516,4.310123443603516,4.310123443603516,0
243,2008-12-29,4.310123443603516,4.310123443603516,4.310123443603516,4.310123443603516,0
244,2008-12-30,4.310123443603516,4.310123443603516,4.310123443603516,4.310123443603516,0
245,2008-12-31,4.310123443603516,4.310123443603516,4.310123443603516,4.310123443603516,0
246,2009-01-02,4.310123443603516,4.310123443603516,4.310123443603516,4.310123443603516,0
247,2009-01-05,4.310123443603516,4.310123443603516,4.310123443603516,4.310123443603516,0
248,2009-01-06,4.310123443603516,4.310123443603516,4.310123443603516,4.310123443603516,0
249,2009-01-07,4.310123443603516,4.310123443603516,4.310123443603516,4.310123443603516,0
250,2009-01-09,4.310123443603516,4.310123443603516,4.310123443603516,4.310123443603516,0
251,2009-01-12,4.310123443603516,4.310123443603516,4.310123443603516,4.310123443603516,0
252,2009-01-13,4.310123443603516,4.310123443603516,4.310123443603516,4.310123443603516,0
253,2009-01-14,4.310123443603516,4.310123443603516,4.310123443603516,4.310123443603516,0
254,2009-01-15,4.310123443603516,4.310123443603516,4.310123443603516,4.310123443603516,0
255,2009-01-16,4.310123443603516,4.310123443603516,4.310123443603516,4.310123443603516,0
256,2009-01-19,4.310123443603516,4.310123443603516,4.310123443603516,4.310123443603516,0
257,2009-01-20,3.831220865249634,4.310123473405838,3.3523182570934296,3.3523182570934296,2435
258,2009-01-21,3.831220865249634,4.310123473405838,3.3523182570934296,3.3523182570934296,6272
259,2009-01-22,3.352318286895752,4.31012351172311,3.352318286895752,3.352318286895752,2726
260,2009-01-23,3.352318286895752,3.831220899309431,3.352318286895752,3.352318286895752,3672
261,2009-01-27,3.831220865249634,3.831220865249634,3.3523182570934296,3.3523182570934296,4601
262,2009-01-28,3.831220865249634,3.831220865249634,3.3523182570934296,3.3523182570934296,4440
263,2009-01-29,3.352318286895752,3.831220899309431,3.352318286895752,3.831220899309431,7191
264,2009-01-30,3.831220865249634,3.831220865249634,3.3523182570934296,3.831220865249634,4427
265,2009-02-02,3.831220865249634,3.831220865249634,3.3523182570934296,3.3523182570934296,992
266,2009-02-03,3.831220865249634,4.310123473405838,3.3523182570934296,3.3523182570934296,11042
267,2009-02-04,4.310123443603516,4.310123443603516,3.352318233913845,3.8312208387586804,8018
268,2009-02-05,3.831220865249634,4.310123473405838,3.831220865249634,3.831220865249634,4868
269,2009-02-06,4.310123443603516,4.310123443603516,3.352318233913845,3.352318233913845,4234
270,2009-02-09,4.310123443603516,4.310123443603516,3.352318233913845,3.352318233913845,8817
271,2009-02-10,4.310123443603516,4.789026048448351,4.310123443603516,4.310123443603516,39263
272,2009-02-11,5.267928600311279,5.267928600311279,4.7890260002829805,5.267928600311279,20651
273,2009-02-12,5.746830940246582,5.746830940246582,5.746830940246582,5.746830940246582,19905
274,2009-02-13,6.225734233856201,6.225734233856201,6.225734233856201,6.225734233856201,11081
275,2009-02-16,6.704636573791504,6.704636573791504,6.225733961377825,6.704636573791504,29360
276,2009-02-17,6.225734233856201,6.704636867229755,5.746831600482647,6.704636867229755,12710
277,2009-02-18,6.225734233856201,6.225734233856201,5.746831600482647,5.746831600482647,12707
278,2009-02-19,6.225734233856201,6.225734233856201,5.746831600482647,6.225734233856201,3687
279,2009-02-20,5.267928600311279,5.746831200339577,5.267928600311279,5.267928600311279,3850
280,2009-02-24,5.746830940246582,4.789025783538818,4.789025783538818,4.789025783538818,4557
281,2009-02-25,4.789026737213135,5.267929410934448,4.310124063491821,5.267929410934448,1545
282,2009-02-26,4.310123443603516,4.789026048448351,4.310123443603516,4.789026048448351,3318
283,2009-02-27,4.789026737213135,4.789026737213135,4.310124063491821,4.789026737213135,3636
284,2009-03-02,4.310123443603516,4.789026048448351,4.310123443603516,4.789026048448351,2571
285,2009-03-03,4.310123443603516,4.310123443603516,3.8312208387586804,4.310123443603516,751
286,2009-03-04,4.310123443603516,4.310123443603516,3.8312208387586804,3.8312208387586804,15200
287,2009-03-05,3.831220865249634,4.310123473405838,3.831220865249634,3.831220865249634,1184
288,2009-03-06,3.831220865249634,4.310123473405838,3.831220865249634,3.831220865249634,2289
289,2009-03-09,3.831220865249634,4.310123473405838,3.831220865249634,4.310123473405838,1513
290,2009-03-12,3.831220865249634,4.310123473405838,3.831220865249634,3.831220865249634,6681
291,2009-03-13,3.831220865249634,4.310123473405838,3.831220865249634,4.310123473405838,1038
292,2009-03-16,3.831220865249634,4.310123473405838,3.831220865249634,4.310123473405838,7571
293,2009-03-17,4.310123443603516,4.310123443603516,3.8312208387586804,4.310123443603516,3836
294,2009-03-18,4.310123443603516,4.310123443603516,3.8312208387586804,3.8312208387586804,3455
295,2009-03-19,3.831220865249634,4.310123473405838,3.831220865249634,4.310123473405838,410
296,2009-03-20,4.310123443603516,4.310123443603516,3.8312208387586804,3.8312208387586804,1112
297,2009-03-23,3.831220865249634,4.310123473405838,3.831220865249634,4.310123473405838,916
298,2009-03-24,4.310123443603516,4.310123443603516,3.8312208387586804,3.8312208387586804,1102
299,2009-03-25,3.831220865249634,4.310123473405838,3.831220865249634,4.310123473405838,3174
300,2009-03-26,3.831220865249634,4.310123473405838,3.831220865249634,3.831220865249634,11945
301,2009-03-27,3.831220865249634,4.310123473405838,3.831220865249634,3.831220865249634,2652
302,2009-03-30,3.831220865249634,3.831220865249634,3.831220865249634,3.831220865249634,1515
303,2009-03-31,3.831220865249634,4.310123473405838,3.3523182570934296,4.310123473405838,2681
304,2009-04-01,4.789026737213135,4.310124063491821,3.8312213897705076,4.310124063491821,905
305,2009-04-02,4.310123443603516,4.310123443603516,3.8312208387586804,3.8312208387586804,2201
306,2009-04-06,4.310123443603516,4.310123443603516,3.8312208387586804,4.310123443603516,2606
307,2009-04-08,4.310123443603516,4.310123443603516,3.8312208387586804,3.8312208387586804,1703
308,2009-04-09,4.310123443603516,4.789026048448351,3.8312208387586804,4.310123443603516,2668
